#  Space group look-up table taken from R. Grosse Kunstleve web-site
#  Modified LJF - Jan 1998
#
# No.   Schoenflies <------ Hermann-Mauguin -----> Hall           Mult
#    set
  64:ba-c   D2h^18  Ccmb                C c m b    -C 2bc 2bc       16
  64:cab    D2h^18  Abma                A b m a    -A 2ac 2ac       16
  64:-cba   D2h^18  Acam                A c a m    -A 2 2ac         16
  64:bca    D2h^18  Bbcm                B b c m    -B 2 2bc         16
  64:a-cb   D2h^18  Bmab                B m a b    -B 2bc 2         16
  65        D2h^19  Cmmm                C m m m    -C 2 2           16
  65:cab    D2h^19  Ammm                A m m m    -A 2 2           16
  65:bca    D2h^19  Bmmm                B m m m    -B 2 2           16
  66        D2h^20  Cccm                C c c m    -C 2 2c          16
  66:cab    D2h^20  Amaa                A m a a    -A 2a 2          16
  66:bca    D2h^20  Bbmb                B b m b    -B 2b 2b         16
  67        D2h^21  Cmma                C m m a    -C 2b 2          16
  67:ba-c   D2h^21  Cmmb                C m m b    -C 2b 2b         16
  67:cab    D2h^21  Abmm                A b m m    -A 2c 2c         16
  67:-cba   D2h^21  Acmm                A c m m    -A 2 2c          16
  67:bca    D2h^21  Bmcm                B m c m    -B 2 2c          16
  67:a-cb   D2h^21  Bmam                B m a m    -B 2c 2          16
  68:1      D2h^22  Ccca:1              C c c a     C 2 2 -1bc      16
  68:2      D2h^22  Ccca:2              C c c a    -C 2b 2bc        16
  68:1ba-c  D2h^22  Cccb:1              C c c b     C 2 2 -1bc      16
  68:2ba-c  D2h^22  Cccb:2              C c c b    -C 2b 2c         16
  68:1cab   D2h^22  Abaa:1              A b a a     A 2 2 -1ac      16
  68:2cab   D2h^22  Abaa:2              A b a a    -A 2a 2c         16
  68:1-cba  D2h^22  Acaa:1              A c a a     A 2 2 -1ac      16
  68:2-cba  D2h^22  Acaa:2              A c a a    -A 2ac 2c        16
  68:1bca   D2h^22  Bbcb:1              B b c b     B 2 2 -1bc      16
  68:2bca   D2h^22  Bbcb:2              B b c b    -B 2bc 2b        16
  68:1a-cb  D2h^22  Bbab:1              B b a b     B 2 2 -1bc      16
  68:2a-cb  D2h^22  Bbab:2              B b a b    -B 2b 2bc        16
  69        D2h^23  Fmmm                F m m m    -F 2 2           32
  70:1      D2h^24  Fddd:1              F d d d     F 2 2 -1d       32
  70:2      D2h^24  Fddd:2              F d d d    -F 2uv 2vw       32
  71        D2h^25  Immm                I m m m    -I 2 2           16
  72        D2h^26  Ibam                I b a m    -I 2 2c          16
  72:cab    D2h^26  Imcb                I m c b    -I 2a 2          16
  72:bca    D2h^26  Icma                I c m a    -I 2b 2b         16
  73        D2h^27  Ibca                I b c a    -I 2b 2c         16
  73:ba-c   D2h^27  Icab                I c a b    -I 2a 2b         16
  74        D2h^28  Imma                I m m a    -I 2b 2          16
  74:ba-c   D2h^28  Immb                I m m b    -I 2a 2a         16
  74:cab    D2h^28  Ibmm                I b m m    -I 2c 2c         16
  74:-cba   D2h^28  Icmm                I c m m    -I 2 2b          16
  74:bca    D2h^28  Imcm                I m c m    -I 2 2a          16
  74:a-cb   D2h^28  Imam                I m a m    -I 2c 2          16
  75        C4^1    P4                  P 4         P 4             4
  76        C4^2    P41                 P 41        P 4w            4
  77        C4^3    P42                 P 42        P 4c            4
  78        C4^4    P43                 P 43        P 4cw           4
  79        C4^5    I4                  I 4         I 4             8
  80        C4^6    I41                 I 41        I 4bw           8
  81        S4^1    P-4                 P -4        P -4            4
  82        S4^2    I-4                 I -4        I -4            8
  83        C4h^1   P4/m                P 4/m      -P 4             8
  84        C4h^2   P42/m               P 42/m     -P 4c            8
  85:1      C4h^3   P4/n:1              P 4/n       P 4ab -1ab      8
  85:2      C4h^3   P4/n:2              P 4/n      -P 4a            8
  86:1      C4h^4   P42/n:1             P 42/n      P 4n -1n        8
  86:2      C4h^4   P42/n:2             P 42/n     -P 4bc           8
  87        C4h^5   I4/m                I 4/m      -I 4             16
  88:1      C4h^6   I41/a:1             I 41/a      I 4bw -1bw      16
  88:2      C4h^6   I41/a:2             I 41/a     -I 4ad           16
  89        D4^1    P422                P 4 2 2     P 4 2           8
  90        D4^2    P4212               P 4 21 2    P 4ab 2ab       8
  91        D4^3    P4122               P 41 2 2    P 4w 2c         8
  92        D4^4    P41212              P 41 21 2   P 4abw 2nw      8
  93        D4^5    P4222               P 42 2 2    P 4c 2          8
  94        D4^6    P42212              P 42 21 2   P 4n 2n         8
  95        D4^7    P4322               P 43 2 2    P 4cw 2c        8
  96        D4^8    P43212              P 43 21 2   P 4nw 2abw      8
  97        D4^9    I422                I 4 2 2     I 4 2           16
  98        D4^10   I4122               I 41 2 2    I 4bw 2bw       16
  99        C4v^1   P4mm                P 4 m m     P 4 -2          8
 100        C4v^2   P4bm                P 4 b m     P 4 -2ab        8
 101        C4v^3   P42cm               P 42 c m    P 4c -2c        8
 102        C4v^4   P42nm               P 42 n m    P 4n -2n        8
 103        C4v^5   P4cc                P 4 c c     P 4 -2c         8
 104        C4v^6   P4nc                P 4 n c     P 4 -2n         8
